ip,date,method,endpoint,status,size,flag
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.jsp,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.mdb,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.nsf,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.jsa,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.pcap,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.php6,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.phtml,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.phps,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.log,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.pht,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.php5,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.php2,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.php3,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.php7,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.php4,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.pl,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.php,200,4152,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.js,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.jhtml,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.inc,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.html,200,45,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.htm,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.hta,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.reg,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.phar,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.sh,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.shtml,404,196,anomaly
172.17.0.1,21/Nov/2024:16:47:08 +0000,GET,/index.sql,404,196,anomaly
