failed_password_attempt_count,ip_attempt_count,log_type_encoded,predicted_label,true_label
0,36806,2,1,1
0,17799,2,1,1
0,6203,2,1,1
0,25484,2,1,1
0,44456,2,1,1
0,34175,2,1,1
0,36360,2,1,1
0,45550,2,1,1
0,14687,2,1,1
0,22737,2,1,1
0,27067,2,1,1
0,37761,2,1,1
0,2996,2,1,1
0,56885,2,1,1
0,6858,2,1,1
0,13585,2,1,1
5299,38,1,1,1
0,13013,2,1,1
0,49750,2,1,1
0,0,4,0,0
0,469,2,1,1
0,0,4,0,0
0,0,7,1,0
0,13,5,1,1
0,62389,2,1,1
0,36867,2,1,1
0,25261,2,1,1
0,26212,2,1,1
0,26938,2,1,1
0,49549,2,1,1
0,53040,2,1,1
0,26875,2,1,1
0,4668,2,1,1
0,8081,2,1,1
0,49781,2,1,1
0,11795,2,1,1
0,20992,2,1,1
0,24151,2,1,1
0,42954,2,1,1
0,30608,2,1,1
0,6901,2,1,1
0,0,4,0,0
0,39012,2,1,1
0,30341,2,1,1
0,40730,2,1,1
0,0,4,0,0
0,30552,2,1,1
0,54521,2,1,1
0,4099,2,1,1
0,8300,2,1,1
0,870,2,1,1
0,34240,2,1,1
0,26744,2,1,1
0,32991,2,1,1
1,68,1,0,0
0,6074,2,1,1
0,6697,2,1,1
0,13671,2,1,1
0,35777,2,1,1
0,44641,2,1,1
0,20897,2,1,1
0,12650,2,1,1
0,16171,2,1,1
0,15981,2,1,1
0,14094,2,1,1
0,6,5,1,1
0,38822,2,1,1
0,24825,2,1,1
0,44180,2,1,1
0,50634,2,1,1
0,39521,2,1,1
0,19073,2,1,1
0,0,4,0,0
0,7064,2,1,1
0,4030,2,1,1
0,0,4,0,0
0,0,4,0,0
0,24122,2,1,1
0,44612,2,1,1
0,42807,2,1,1
0,29584,2,1,1
0,18702,2,1,1
0,45490,2,1,1
0,16831,2,1,1
2717,15,1,1,1
0,0,4,0,0
0,30227,2,1,1
0,14036,2,1,1
0,38634,2,1,1
0,4871,2,1,1
0,0,4,0,0
0,30604,2,1,1
0,6013,2,1,1
0,9898,2,1,1
0,31291,2,1,1
0,41924,2,1,1
0,58505,2,1,1
0,44990,2,1,1
0,22250,2,1,1
0,37376,2,1,1
0,40124,2,1,1
0,11479,2,1,1
0,32868,2,1,1
0,49550,2,1,1
0,5096,2,1,1
0,30086,2,1,1
0,0,4,0,0
0,13335,2,1,1
0,37204,2,1,1
0,32441,2,1,1
0,6972,2,1,1
0,48433,2,1,1
0,17077,2,1,1
0,28944,2,1,1
0,61826,2,1,1
5449,13,1,1,1
0,2058,2,1,1
0,14874,2,1,1
0,26331,2,1,1
0,43908,2,1,1
0,32219,2,1,1
0,12192,2,1,1
0,44240,2,1,1
0,38030,2,1,1
0,42728,2,1,1
0,37248,2,1,1
0,66007,2,1,1
0,0,0,0,0
0,0,3,0,0
0,0,4,0,0
0,43166,2,1,1
0,28597,2,1,1
0,3667,2,1,1
0,51631,2,1,1
0,62285,2,1,1
0,39356,2,1,1
0,46694,2,1,1
0,66880,2,1,1
0,1615,2,1,1
480,6,1,1,1
0,13416,2,1,1
0,32718,2,1,1
0,67120,2,1,1
0,63711,2,1,1
0,37987,2,1,1
0,38944,2,1,1
0,39015,2,1,1
0,61242,2,1,1
86,0,1,1,1
0,1562,2,1,1
0,0,4,0,0
0,220,2,1,1
0,50526,2,1,1
0,1380,2,1,1
0,39402,2,1,1
0,5417,2,1,1
2,5,1,0,0
0,39495,2,1,1
0,16166,2,1,1
0,23620,2,1,1
0,5919,2,1,1
0,13646,2,1,1
0,27521,2,1,1
0,59634,2,1,1
0,10156,2,1,1
1578,11,1,1,1
0,32540,2,1,1
0,17991,2,1,1
0,36847,2,1,1
0,6057,2,1,1
